unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,Average Price,Return Ratio
1563231600,15-07-2019 23:00,BTC/USD,10938.18,11080.37,10847.25,10850,706.73,7766335.05,10928.95,1.249779509
1563228000,15-07-2019 22:00,BTC/USD,10737.18,10940,10737.18,10938.18,264,2862979.73,10838.135,1.239394365
1563224400,15-07-2019 21:00,BTC/USD,10820,10901.7,10737.18,10737.18,216.11,2338815.46,10799.015,1.234920799
1563220800,15-07-2019 20:00,BTC/USD,10861.16,10950,10773.13,10820,263.22,2857103.81,10851.0725,1.240873832
1563217200,15-07-2019 19:00,BTC/USD,10920.73,10942.9,10825,10861.16,390.85,4251267.64,10887.4475,1.245033493
1563213600,15-07-2019 18:00,BTC/USD,10442.84,10942.9,10363.46,10920.73,1752.1,18795729.92,10667.4825,1.219879407
1563210000,15-07-2019 17:00,BTC/USD,10652.92,10663.52,10430.19,10442.84,493.15,5201631.09,10547.3675,1.206143662
1563206400,15-07-2019 16:00,BTC/USD,10573.43,10673.05,10475.12,10652.92,585.67,6202671.63,10593.63,1.211434008
1563202800,15-07-2019 15:00,BTC/USD,10569.88,10619.89,10488.53,10573.43,327,3452772.62,10562.9325,1.207923597
1563199200,15-07-2019 14:00,BTC/USD,10386.45,10593.4,10386.45,10569.88,1160.74,12206811.73,10484.045,1.198902421
1563195600,15-07-2019 13:00,BTC/USD,10055.92,10413.18,10050.06,10386.45,856.74,8775741.07,10226.4025,1.169439727
1563192000,15-07-2019 12:00,BTC/USD,10309.99,10330,10044.83,10055.92,988.96,10064590.91,10185.185,1.164726301
1563188400,15-07-2019 11:00,BTC/USD,10304.13,10390,10259.33,10309.99,485.01,5007441.9,10315.8625,1.17966992
1563184800,15-07-2019 10:00,BTC/USD,10330.52,10398.99,10284.01,10304.13,241.32,2493894.46,10329.4125,1.18121943
1563181200,15-07-2019 09:00,BTC/USD,10202.04,10393.2,10139.41,10330.52,496.83,5098626.47,10266.2925,1.174001345
1563177600,15-07-2019 08:00,BTC/USD,10345.29,10352.6,10163.73,10202.04,543.64,5574268.54,10265.915,1.173958176
1563174000,15-07-2019 07:00,BTC/USD,10174.68,10355,10162.46,10345.29,1065.73,10973978.8,10259.3575,1.173208294
1563170400,15-07-2019 06:00,BTC/USD,10170.87,10226.46,10080.15,10174.68,392.85,3990919.63,10163.04,1.162193911
1563166800,15-07-2019 05:00,BTC/USD,10145.15,10196.99,10066.11,10170.87,344.84,3499403.75,10144.78,1.16010579
1563163200,15-07-2019 04:00,BTC/USD,10270.64,10294.08,10145.15,10145.15,237.17,2420656.22,10213.755,1.167993422
1563159600,15-07-2019 03:00,BTC/USD,10102.58,10273.18,10056.61,10270.64,814.32,8303907.08,10175.7525,1.163647648
1563156000,15-07-2019 02:00,BTC/USD,10044.53,10102.58,9855,10102.58,520.68,5199903.17,10026.1725,1.146542435
1563152400,15-07-2019 01:00,BTC/USD,10009.02,10150.5,9985.11,10044.53,395.73,3986815.31,10047.29,1.148957326
1563148800,15-07-2019 00:00,BTC/USD,10191.87,10205.71,9900,10009.02,2504.67,25126585.76,10076.65,1.152314787
1563145200,14-07-2019 23:00,BTC/USD,10499.51,10499.51,10090,10191.87,1444.59,14810956.76,10320.2225,1.180168508
1563141600,14-07-2019 22:00,BTC/USD,10637.4,10670,10476.15,10499.51,497.58,5263380.44,10570.765,1.208819282
1563138000,14-07-2019 21:00,BTC/USD,10638,10705.59,10537.42,10637.4,222.88,2368574.63,10629.6025,1.215547642
1563134400,14-07-2019 20:00,BTC/USD,10491.31,10732,10355.09,10638,481.64,5088508.1,10554.1,1.206913557
