unix,date,symbol,open,high,low,close,Volume_ETH,Volume_USD,Average_Price,Return_Ratio
1533531600,06-08-2018 05:00,ETH/USD,409.92,411.67,409.65,410.54,383.52,157586.14,410.445,0.559816688
1533535200,06-08-2018 06:00,ETH/USD,410.54,411.82,408.49,409.2,735.13,301624.97,410.0125,0.55922679
1533538800,06-08-2018 07:00,ETH/USD,409.2,411.54,406.75,409.02,846.4,346722.09,409.1275,0.558019716
1533542400,06-08-2018 08:00,ETH/USD,409.02,409.04,406.2,407.97,1045.58,426452.67,408.0575,0.556560315
1533546000,06-08-2018 09:00,ETH/USD,407.97,408.54,405.92,406.73,226,92044.35,407.29,0.555513501
1533549600,06-08-2018 10:00,ETH/USD,406.73,407.4,405.91,406.54,166.08,67541.5,406.645,0.554633769
1533553200,06-08-2018 11:00,ETH/USD,406.54,408.04,405.98,407.98,279.85,113845.95,407.135,0.555302093
1533556800,06-08-2018 12:00,ETH/USD,407.98,407.98,405.51,406.69,397.3,161548.92,407.04,0.55517252
1533560400,06-08-2018 13:00,ETH/USD,406.69,406.69,403.39,404.68,748.92,303002.23,405.3625,0.552884533
1533564000,06-08-2018 14:00,ETH/USD,404.68,405.52,403.72,405.51,168.21,68090.91,404.8575,0.552195751
1533567600,06-08-2018 15:00,ETH/USD,405.51,407.2,405.03,405.84,273.93,111270.93,405.895,0.553610824
1533571200,06-08-2018 16:00,ETH/USD,405.84,406.35,404.72,404.94,248.28,100658.32,405.4625,0.553020926
1533574800,06-08-2018 17:00,ETH/USD,404.94,406.17,403.42,404.44,436.23,176767.46,404.7425,0.552038899
1533578400,06-08-2018 18:00,ETH/USD,404.44,404.44,402.73,403.96,340.48,137315.82,403.8925,0.550879562
1533582000,06-08-2018 19:00,ETH/USD,403.96,404.11,403.18,403.79,65.86,26586.61,403.76,0.550698842
1533585600,06-08-2018 20:00,ETH/USD,403.79,404.1,402.96,403.3,217.35,87727.39,403.5375,0.550395368
1533589200,06-08-2018 21:00,ETH/USD,403.3,403.3,400.59,401.31,701.92,282108.24,402.125,0.548468822
1533592800,06-08-2018 22:00,ETH/USD,401.31,402.75,400.84,402.06,462.33,185760.05,401.74,0.547943711
1533596400,06-08-2018 23:00,ETH/USD,402.06,407,402.02,404.25,554.19,224509.21,403.8325,0.550797726
1533600000,07-08-2018 00:00,ETH/USD,404.25,406.99,404.25,405.81,276.1,112059.4,405.325,0.552833386
1533603600,07-08-2018 01:00,ETH/USD,405.81,406.34,402.88,403.76,399.84,161562.53,404.6975,0.551977522
1533607200,07-08-2018 02:00,ETH/USD,403.76,405.97,403.61,404.99,240.33,97242.18,404.5825,0.551820671
